# chữ Hán → âm Hán-Việt ('|' ngăn cách nếu đa âm, âm đầu = mặc định).
# Nguồn: github.com/ph0ngp/hanviet-pinyin-words (MIT) + Unihan kTraditionalVariant
# (giản thể hợp nhất cả âm của dạng phồn thể). Sinh bởi build_hv3.py 2026-07.
⻏	ấp
猫	miêu
猬	vị
猭	duyên
献	hiến
猱	nao
猲	hạt|yết
猳	gia
猴	hầu
猵	biên
猶	do
猷	du
猺	dao
猻	tôn
猾	hoạt
猿	viên
獀	sưu
獁	mã
獃	ngai|ngốc
獄	ngục
獅	sư
獉	trăn
獋	hào
獍	kính
獎	thưởng
獏	mô
獐	chương
獒	ngao
獕	toả
獗	quyết
獘	tệ
獚	hoàng
獝	húc
獞	đồng
獠	liêu
獢	kiêu
獧	quyến
獨	độc
獪	quái
獫	hiểm
獬	giải
獭	thát
獮	tiển
獯	huân
獰	nanh
獱	tân
獲	hoạch
獳	nậu
獴	mông
獵	liệp
獷	quảng
獸	thú
獺	thát
獻	hiến
獼	my
獾	hoan
玀	la
玁	hiểm
玂	kỳ
玃	quặc
玄	huyền
玅	diệu
玆	tư
率	luật|suất|soái|suý|soát
玈	lô
玉	ngọc
玊	túc
王	vương|vượng
玍	ca
玎	đinh
玑	ky
玓	đích
玔	xuyến
玕	can
玖	cửu
玗	vu
玙	dư
玛	mã
玞	phu
玟	mân|văn
玠	giới
玤	bổng
玥	nguyệt
玦	quyết
玨	giác
玩	ngoạn
玫	mai
玭	biền
玮	vĩ
环	hoàn
现	hiện
玱	thương
玲	linh
玳	đại
玷	điếm
玹	huyền
玺	tỷ
玻	pha
玼	thử
珀	phách
珂	kha
珃	nhiễm
珅	thân
珈	gia
珉	mân
珊	san
珌	tất
珍	trân
珎	trân
珐	pháp
珑	lung
珓	giảo
珖	quang
珙	củng
珞	lạc
珠	châu
珡	cầm
珣	tuần
珥	nhị
珦	hướng
珧	diêu
珩	hành
珪	khuê
班	ban
珮	bội
珰	đang
珲	hồn
珵	trình
珷	vũ
珽	thỉnh
現	hiện
琀	hàm
琁	tuyền
球	cầu
琅	lang
理	lý
琇	tú
琉	lưu
琊	da
琎	tấn
琏	liễn
琐	toả
琖	trản
琚	cư
琛	sâm
琠	điển
琢	trác
琤	tranh
琥	hổ
琦	kỳ
琨	côn
琪	kỳ
琫	bổng
琬	uyển
琭	lộc
琮	tông
琯	quản
琰	diễm
琱	điêu
琲	bội
琳	lâm
琴	cầm
琵	tỳ
琶	bà
琹	cầm
琺	pháp
琼	quỳnh
琿	hồn
瑀	vũ
瑁	mạo
瑄	tuyên
瑇	đại
瑉	mân
瑋	vĩ
瑑	triện
瑕	hà
瑗	viện
瑙	não
瑚	hô
瑛	anh
瑜	du
瑞	thuỵ
瑟	sắt
瑠	lưu
瑢	dung
瑣	toả
瑤	dao
瑨	tấn
瑩	oánh
瑪	mã
瑭	đường
瑯	lang
瑰	khôi
瑱	thiến|chấn|trấn
瑲	thương
瑳	tha
瑶	dao
瑷	ái
瑸	tân
瑽	xung
瑾	cẩn
瑿	ê
璀	thôi
璁	thông
璃	ly|lê
璅	toả
璆	cầu
璇	tuyền
璈	ngao
璉	liễn
璊	môn
璋	chương
璎	anh
璐	lộ
璘	lân
璚	quỳnh
璜	hoàng
璞	phác
璟	cảnh
璠	phan
璡	tấn
璢	lưu
璣	ky
璦	ái
璧	bích
璨	xán
璩	cừ
璪	tảo
璫	đang
環	hoàn
璱	sắt
璲	toại
璵	dư
璸	tân
璺	vấn
璽	tỷ
璿	tuyền
瓀	nhuyễn
瓅	lịch
瓈	ly|lê
瓊	quỳnh
瓌	côi
瓏	lung
瓒	toản
瓔	anh
瓖	tương
瓘	quán
瓚	toản
瓛	hoàn
瓜	qua
瓞	điệt
瓠	hồ
瓢	biều
瓣	biện
瓤	nhương
瓦	ngoã
瓩	thiên ngoã
瓬	phưởng
瓮	úng
瓯	âu
瓴	linh
瓶	bình
瓷	từ
瓻	hy
瓿	bẫu
甀	truỵ
甁	bình
甃	trứu
甄	chân
甇	anh
甋	đích
甌	âu
甍	manh
甎	chuyên
甏	bạng
甑	tắng
甒	vũ
甓	bích
甔	đàm
甕	úng
甖	anh
甗	nghiễn
甘	cam
甙	đại
甚	thậm
甜	điềm
甝	hàm
甞	thường
生	sinh
甡	sân
產	sản
産	sản
甥	sanh
甦	tô
用	dụng
甩	suý
甪	lộ
甫	phủ
甬	dũng|thùng
甭	bằng
甯	ninh
田	điền
由	do
甲	giáp
申	thân
电	điện
男	nam
甸	điện
甹	phinh
町	đinh
画	hoạ|hoạch
甽	quyến
甾	tai
甿	manh
畀	tý
畂	mẫu
畅	sướng
畆	mẫu
畇	vận
畈	phiến
畊	canh
畋	điền
界	giới
畎	quyến
畏	uý
畔	bạn
留	lưu
畚	bổn
畛	chẩn
畜	súc|húc
畝	mẫu
畟	tắc
畢	tất
畤	trĩ
略	lược
畦	huề
畧	lược
番	phan|phiên
畫	hoạ|hoạch
畬	xa|dư
畮	mẫu
畯	tuấn
異	dị
畱	lưu
畴	trù
畵	hoạch
當	đương|đang|đáng
畷	chuyết
畸	ky
畹	uyển
畺	cương
畽	thoản
畾	lôi
畿	kỳ
疃	thoản
疆	cương
疇	trù
疉	điệp
疊	điệp
疋	thất|sơ|nhã
疎	sơ
疏	sơ|sớ
疐	chí
疑	nghi
疒	nạch
疔	đinh
疕	phỉ
疖	tiết
疗	liệu
疘	giang
疙	ngật
疚	cứu
疝	sán
疟	ngược
疠	lệ
疡	dương
疢	sấn
疣	vưu
疤	ba
疥	giới
疧	kỳ
疫	dịch
疬	lịch
疭	túng
疮	sang
疯	phong
疱	pháo
疲	bì
疳	cam
疴	kha
疵	tỳ
疸	đáp|đản
疹	chẩn
疼	đông
疽	thư
疾	tật
疿	phi
痁	thiêm
痂	già
痄	trá
病	bệnh
症	chứng|trưng
痈	ung
痉	kinh
痊	thuyên
痌	thông
痍	di
痎	giai
痏	vị
痐	hồi
痒	dưỡng
痔	trĩ
痕	ngân
痖	á
痗	mội
痘	đậu
痙	kinh
痚	hiêu
痛	thống
痞	bĩ
痠	toan
痡	phô
痢	lị
痣	chí
痤	toạ
痧	sa
痨	lao
痪	hoán
痫	giản
痯	quản
痰	đàm
痱	phi
痲	ma
痳	lâm
痴	si
痵	quý
痺	tý
痻	mân
痼	cố
痾	kha
痿	nuy
瘀	ứ
瘁	tuỵ
瘂	á
瘃	chúc
瘅	đan|đản
瘈	khế
瘉	dũ
瘊	hầu
瘋	phong
瘌	lạt
瘍	dương
瘏	đồ
瘐	dũ
瘓	hoán
瘕	gia
瘖	âm
瘗	ế
瘘	lũ
瘚	quyết
瘛	xiết
瘜	tức
瘝	quan
瘞	ế
瘟	ôn
瘠	tích
瘡	sang
瘢	ban
瘤	lựu
瘥	sái|ta
瘦	sấu
瘧	ngược
瘨	điên
瘩	đáp
瘪	biết
瘫	than
瘭	tiêu
瘯	thốc
瘰	lỗi
瘲	túng
瘳	sưu
瘴	chướng
瘵	sái
瘸	qua
瘺	lũ
瘻	lũ
瘼	mạc
瘾	ẩn
瘿	anh
療	liệu
癃	lung
癄	tiều
癅	lựu
癆	lao
癇	giản
癈	phế
癉	đan|đản
癌	ngai
癍	ban
癎	giản
癐	uy
癒	dũ
癕	ung
癖	phích
癘	lệ
癙	thử
癜	điến
癞	lại
癟	biết
癠	tễ
癡	si
癢	dưỡng
癣	tiển
癤	tiết
癥	trưng
癧	lịch
癩	lại
癫	điên
癬	tiển
癭	anh
癮	ẩn
癯	cù
癰	ung
癱	than
癲	điên
癶	bát
癸	quý
発	phát
登	đăng
發	phát
白	bạch
百	bách
皀	tấp
皁	tạo
皂	tạo
皃	mạo
的	đích
皆	giai
皇	hoàng
皈	quy
皋	cao
皎	kiểu
皐	cao
皑	ngai
皓	hạo
皕	bức
皖	hoãn
皙	tích
皚	ngai
皜	hạo
皞	hạo
皤	bà
皦	kiểu
皪	lịch
皫	phiếu
皭	tước
皮	bì
皰	pháo
皱	trứu
皲	quân
皴	thuân
皷	cổ
皸	quân
皺	trứu
皻	cha|tra
皽	chao
皿	mãnh
盂	vu
盃	bôi
盅	chung
盆	bồn
盇	hạp
盈	doanh
盉	hoà
益	ích
盋	bát
盌	oản
盍	hạp
盎	áng
盏	trản
盐	diêm
监	giam|giám
盒	hạp
盔	khôi
盖	cái
盗	đạo
盘	bàn
盛	thịnh|thình
盜	đạo
盝	lộc
盞	trản
盟	minh
盡	tận
監	giam|giám
盤	bàn
盥	quán
盦	am
盧	lô
盩	chu
盪	đãng
盬	cổ
盭	lệ
目	mục
盯	đinh
盱	hu
盲	manh
直	trực
相	tương|tướng
盹	độn
盻	hễ
盼	phán
盾	thuẫn
省	tỉnh
眄	miện
眇	miễu
眈	đam
眉	mi
眊	mạo
看	khán
眍	khu
眎	thị
眑	yểu
眕	chẩn
眙	dị
眚	sảnh
眛	muội
眞	chân
真	chân
眠	miên
眡	thị
眢	oan
眣	điệt
眥	tý
眦	tý
眨	trát
眩	huyễn
眬	lung
眭	tuy
眯	mị
眳	danh
眴	huyễn
眵	si
眶	khuông
眷	quyến
眸	mâu
眹	trẫm
眺	thiếu
眼	nhãn
眽	mạch
眾	chúng
着	trước|trứ
睁	tranh
睂	mi
睃	tuấn
睄	sảo
睅	hạn
睆	hoản
睇	đệ
睊	quyến
睍	hiện
睎	hy
睏	khốn
睐	lãi
睑	kiểm
睒	thiểm
睖	lăng
睘	quỳnh
睚	nhai
睛	tình
睜	tranh
睞	lãi
睟	tuý
睠	quyến
睡	thuỵ
睢	tuy
督	đốc
睥	bễ
睦	mục
睨	nghễ
睪	dịch
睫	tiệp
睬	thải
睹	đổ
睺	hầu
睽	khuê
睾	cao
睿	duệ
瞀	mậu
瞄	miêu
瞅	thu
瞇	mị
瞈	ổng
瞋	sân
瞌	khạp
瞍	tẩu
瞎	hạt
瞏	quỳnh
瞑	minh
瞒	man
瞖	ế
瞘	khu
瞜	lâu
瞞	man
瞟	phiếu
瞠	sanh
瞢	măng
瞤	nhuần|thuần
瞥	miết
瞧	tiều
瞩	chúc
瞪	trừng
瞫	thẩm
瞬	thuấn
瞭	liễu|liêu
瞰	khám
瞳	đồng
瞵	lân
瞷	gián
瞻	chiêm
瞼	kiểm
瞽	cổ
瞿	cù
矁	thiễu
矇	mông
矉	tần
矍	quắc
矓	lung
矗	súc
矙	khám
矚	chúc
矛	mâu
矜	căng
矞	duật
矟	sác
矠	tích
矢	thỉ
矣	hĩ
知	tri
矦	hầu
矧	thẩn
矩	củ
矫	kiểu
矬	toà
短	đoản
矮	ải
矯	kiểu
矰	tăng
矱	hoạch
石	thạch|đạn
矴	đính
矶	ky
矸	can
矻	khốt
矼	cang
矽	tịch
矾	phàn
矿	khoáng|quặng
砀	đãng
码	mã
砂	sa
砃	đan
砅	lệ
砆	phu
砉	hoạch
砌	thế
砍	khảm
砑	nhạ
砒	tỳ
研	nghiên
砖	chuyên
砗	xa
砚	nghiễn
砜	phong
砝	pháp
砠	thư
砢	loã
砣	đà
砥	để
砦	trại
砧	châm
砩	phế|phất
砭	biêm
砮	nỗ
砰	phanh
砲	pháo
砳	lặc
破	phá
砵	bát
砷	thân
砸	tạp
砺	lệ
砻	lung
砼	đồng
砾	lịch
础	sở
硁	khanh
硃	chu
硅	khuê
硇	nao
硌	các
硍	khẩn
硎	hình
硏	nghiên
硐	động
硒	tây
硕	thạc
硖	giáp
硗	khao
硙	cai|ngôi|ngại
硚	kiều
硜	khanh
硝	tiêu
硤	giáp
硨	xa
硪	ngạ
硫	lưu
硬	ngạnh
硭	mang
确	xác
硯	nghiễn
硵	lỗ
硷	kiềm
硼	bằng
硾	truỵ
碁	kỳ
碃	thanh
碇	đính
碉	điêu
碌	lựu|lục
碍	ngại
碎	toái
碏	thước
碑	bi
碓	đối
碔	vũ
碗	oản
碘	điển
碚	bội
碛	thích
碜	sẩm
碞	nham
碟	điệp
碡	độc
碣	kiệt
碥	biển
碧	bích
碩	thạc
碪	châm
碫	đoán
碭	đãng
碯	não
碰	bính
碲	đế
碳	thán
碴	tra
碸	phong
確	xác
碻	xác
碼	mã
碾	niễn
磁	từ
磅	bảng
磈	uỷ
磉	tảng
磊	lỗi
磋	tha
磐	bàn
磑	cai|ngôi|ngại
磔	trách
磕	khái
磙	cổn
磚	chuyên
磛	sàm
磟	lựu
磠	lỗ
磡	khám
磣	sẩm
磤	ân
磥	lỗi
磧	thích
磨	ma|mài|má
磪	thôi
磬	khánh
磯	ky
磲	cừ
磴	đặng
磵	giản
磷	lân
磹	điệm
磺	huỳnh
磻	bàn
磽	khao
礁	tiêu
礄	kiều
礅	đôn
礆	kiềm
礌	lôi
礎	sở
礓	cương
礙	ngại
礚	khái
礜	dự
礝	nhuyễn
礞	mông
礡	bạc
礤	sát
礦	khoáng|quặng
礧	lôi
礪	lệ
礫	lịch
礬	phàn
礮	pháo
礱	lung
示	thị
礻	thị
礼	lễ
礽	nhưng
社	xã
礿	dược
祀	tự
祁	kỳ
祂	tha
祃	mã
祅	yêu
祆	hiên
祇	chỉ|kỳ
祈	kỳ
祉	chỉ
祊	banh
祎	y
祏	thạch
祐	hữu
祓	phất
祔	phụ
祕	bí
祖	tổ
祗	chi
祘	toán
祚	tộ
祛	khư
祜	hỗ
祝	chúc
神	thần
祟	tuý
祠	từ
祢	nỉ|nễ
祥	tường
祧	thiêu
票	phiếu
祫	hợp
祭	sái|tế
祯	trinh
祲	tẩm
祷	đảo
祸	hoạ
祺	kỳ
祻	cố
祼	quán
祿	lộc
禀	bẩm
禁	cầm|câm|cấm
禂	đảo
禄	lộc
禅	thiền|thiện
禊	hễ
禋	yên
禍	hoạ
禎	trinh
福	phúc
禔	đề
禕	y
禖	môi
禘	đế
禚	chước
禛	chân
禜	vinh
禠	tư
禡	mã
禦	ngự
禧	hỷ
禨	ky
禩	tự
禪	thiền|thiện
禫	đạm
禮	lễ
禰	nễ
禱	đảo
禳	nhương
禴	dược
禸	nhựu
禹	vũ
禺	ngẫu|ngu|ngụ
离	ly
禽	cầm
禾	hoà
禿	thốc
秀	tú
私	tư
秃	thốc
秆	cán
秈	tiên
秉	bỉnh
秊	niên
秋	thu
秌	thu
种	chủng|trồng|chúng
秏	hao
科	khoa
秒	miểu
秔	canh
秕	bỉ
秘	bí
秜	ni
租	tô
秠	phi
秣	mạt
秤	xứng
秦	tần
秧	ương
秩	trật
秫	thuật
秬	cự
秭	tỷ
积	tích
称	xứng|xưng
秷	xứng
秸	kiết
移	di
秽	uế
秾	nùng
稀	hy
稂	lang
稃	phu
稅	thuế
稆	lữ
稈	cán
稉	canh
稊	đề
程	trình
稌	đồ
稍	sảo|sao
税	thuế
稑	lục
稔	nhẫm
稗	bại
稙	trị
稚	trĩ
稛	khổn
稜	lăng
稞	khoa
稟	bẩm
稠	trù
稣	tô
稨	biển
稬	noạ
稭	kiết
種	chủng|trồng|chúng
稱	xứng|xưng
稳	ổn
稷	tắc
稹	chẩn
稺	trĩ
稻	đạo
稼	giá
稽	kê|khể
稾	cảo
稿	cảo
穀	cốc
穄	tế
穅	khang
穆	mục
穇	sam
穈	môn
穉	trĩ
穊	ký
穋	lục
穌	tô
積	tích
穎	dĩnh
穑	sắc
穗	tuệ
穜	đồng
穟	toại
穠	nùng
穡	sắc
穢	uế
穤	noạ
穧	tế
穨	đồi
穩	ổn
穫	hoạch
穭	lữ
穮	tiêu
穰	nhương
穴	huyệt
穵	oạt
究	cứu
穷	cùng
穸	tịch
穹	khung
空	không|khống
穽	tỉnh
穿	xuyên
窀	truân
突	đột
窃	thiết
窄	trách
窅	yểu
窆	biếm
窈	yểu
窊	oa
窋	truật
窌	giáo
窍	khiếu
窎	điếu
窑	diêu
窒	trất
窓	song
窔	yểu
窕	điệu
窖	giáo
窗	song
窘	quẫn
窜	thoán
窝	oa
窞	đạm
窟	quật
窠	khoa
窣	tốt
窥	khuy
窦	đậu
窨	huân|ấm
窩	oa
窪	oa
窬	du
窭	cũ
窮	cùng
窯	diêu
窰	diêu
窳	dũ
窴	điền
窵	điếu
窶	cũ
窸	tất
窺	khuy
窻	song
窾	khoản
窿	lung
竁	xuế
竄	thoán
竅	khiếu
竇	đậu
竈	táo
竊	thiết
立	lập
竑	hoành
竖	thụ
站	trạm
竚	trữ
竜	long
竝	tịnh
竞	cạnh
竟	cánh
章	chương
竢	sĩ
竣	thuân
童	đồng
竦	tủng
竪	thụ
竭	kiệt
端	đoan
競	cạnh
竹	trúc
竺	trúc|đốc
竽	vu
竾	trì
竿	can
笃	đốc
笄	kê
笆	ba
笈	cấp
笊	tráo
笋	duẩn
笏	hốt
笐	hàng
笑	tiếu
笓	tỳ
笔	bút
笕	kiển
笙	sanh
笛	địch
笞	si
笠	lạp
笤	điều
笥	tứ
符	phù
笨	đần
笪	đát
笫	chỉ
第	đệ
笭	linh
笮	trách
笯	nô
笰	phất
笱	cẩu
笲	phiền
笳	già
笵	phạm
笸	phả
笺	tiên
笻	cung
笼	lồng|lung
笾	biên
筅	tiển
筆	bút
筇	cung
筈	quát
等	đẳng
筊	giảo
筋	cân
筌	thuyên
筍	duẩn
筏	phiệt
筐	khuông
筑	trúc
筒	đồng
答	đáp
策	sách
筘	khấu
筚	tất
筛	si
筜	đương
筝	tranh
筞	sách
筠	quân
筢	ba
筤	lang
筥	cử
筦	quản
筧	kiển
筩	đồng
筭	toán
筮	phệ
筯	trợ
筰	tạc
筱	tiểu
筲	sao
筳	đình
筴	sách
筵	diên
筷	khoái
筸	can
筹	trù
筼	vân
签	thiêm
简	giản
箅	bế
箇	cá
箊	ư
箋	tiên
箍	cô
箎	trì
箏	tranh
箐	thiến
箑	tiệp
箒	chổi
箓	lục
箔	bạc
箕	cơ
算	toán
箘	khuân
箙	phục
箜	không
箝	kiềm
箠	chuỷ
管	quản
箦	trách
箧	khiếp
箨	thác
箩	la
箪	đan
箫	tiêu
箬	nhược
箭	tiễn
箯	tiên
箱	rương
箴	châm
箸	trợ
箾	sóc
節	tiết
篁	hoàng
範	phạm
篆	triện
篇	thiên
築	trúc
篋	khiếp
篌	hầu
篑	quỹ
篓	lâu
篔	vân
篘	trừu
篙	cao
篚	phỉ
篛	nhược
篝	câu
篠	tiểu
篡	soán
篤	đốc
篥	lật
篦	bí
篧	trạc
篨	trừ
篩	si
篪	trì
篮	lam
篯	tiên
篰	bộ
篱	ly
篲	tuệ
篳	tất
篴	địch
篷	bồng
篹	toán|soạn|toản
篼	đâu
篾	miệt
簀	trách
簁	si
簃	di
簆	khấu
簇	thốc
簋	quỹ
簌	tốc
簍	lâu
簏	lộc
簑	thoa
簒	soán
簖	đoán
簜	đãng
簝	liêu
簞	đan
簟	điệm
簠	phủ
簡	giản
簣	quỹ
簥	kiểu
簦	đăng
簧	hoàng
簨	tuẩn
簪	trâm
簫	tiêu
簬	lộ
簮	trâm
簰	bài
簷	diêm
簸	bá
簹	đương
簻	qua
簽	thiêm
簾	liêm
簿	bạ
籀	trứu
籁	lại
籃	lam
籅	dư
籊	địch
籌	trù
籍	tịch
籐	đằng
籑	soạn
籒	trứu
籔	tẩu
籖	thiêm
籙	lục
籚	lư
籛	tiên
籜	thác
籝	doanh
籟	lại
籠	lồng|lung
籢	liêm
籣	lan
籤	thiêm
籥	dược
籧	cừ
籩	biên
籪	đoán
籬	ly
籭	si
籮	la
籯	doanh
籲	dụ
米	mễ
籴	địch
籸	sân
籹	nhữ
类	loại
籼	tiên
籽	tử
粃	bỉ
粇	canh
粉	phấn
粋	tuý
粑	ba
粒	lạp
粔	cự
粕	phách
粗	thô
粘	niêm
粛	túc
粜	thiếu
粝	lệ
粞	tê
粟	túc
粢	tư
粤	việt
粥	dục|chúc
粦	lân
粧	trang
粪	phân
粮	lương
粰	phu
粱	lương
粲	xán
粳	canh
粵	việt
粹	tuý
粺	bại
粻	trương
粼	lân
粽	tống
精	tinh
粿	quả
糁	tảm
糅	nhữu
糇	hầu
糈	tư
糉	tống
糊	hồ
糌	ta
糍	từ
糒	bí
糔	tưu
糕	cao
糖	đường
糗	khứu
糙	tháo
糜	my
糝	tảm
糞	phân
糟	tao
糠	khang
糢	mô
糧	lương
糨	cưỡng
糯	noạ
糰	đoàn
糱	nghiệt
糲	lệ
糴	địch
糶	thiếu
糸	mịch
糹	mịch
糺	củ
系	hệ
糾	củ
紀	kỷ
紂	trụ
紃	xuyên
約	yêu|ước
紅	hồng|công
紆	hu
紇	hột
紈	hoàn
紉	nhận
紊	vặn
紋	văn
納	nạp
紐	nữu
紑	phù
紓	thư
純	thuần
紕	phi
紗	sa
紘	hoành
紙	chỉ
級	cấp
紛	phân
紜	vân
紝	nhâm
紞	đãn
紟	câm
素	tố
紡	phưởng
索	sách
紥	trát
紧	khẩn
紩	trật
紫	tử
紬	trừu
紮	trát
累	luỵ|luỹ|luy
細	tế
紱	phất
紲	tiết
紳	thân
紵	trữ
紹	thiệu
紺	cám
紼	phất
紽	đà
紾	chẩn
紿	đãi
絀	truất
絁	thi
終	chung
絃	huyền
組	tổ
絅	quýnh
絆	bán
経	kinh
絍	nhâm
絎	hàng
絏	tiết
結	kết
絓	quái|quai
絕	tuyệt
絖	khoáng
絚	căng
絛	thao
絜	khiết|kiết|hiệt
絝	khố
絞	giảo
絡	lạc
絢	huyến
絣	băng
給	cấp
絨	nhung
絪	nhân
絫	luỹ
絮	nhứ
絰	điệt
統	thống
絲	tơ
絳	giáng
絶	tuyệt
絷	trập
絹	quyên
絺	hy
絻	miện|vấn
絿	cầu
綀	sơ
綁	bảng
綂	thống
綃	tiêu
綅	xâm
綆	cảnh
綈	đề
綉	tú
綌	khích
綍	phất
綎	đinh
綏	tuy
綑	khổn
經	kinh
綖	diên
綘	phùng
継	kế
続	tục
綜	tống|tổng|tông
綝	sâm
綠	lục
綢	trù
綣	quyển
綦	kỳ
綪	thiến
綫	tuyến
綬	thụ
維	duy
綮	khể
綯	đào
綰	oản
綱	cương
網	võng
綳	băng
綴	chuyết|xuyết|chuế
綵	thái
綷	tuý
綸	luân
綹	lữu
綺	ỷ|khỉ
綻	trán
綽	xước
綾	lăng
綿	miên
緁	tiệp
緄	cổn
緅	tưu
緆	tích
緇	tri
緊	khẩn
緋	phi
緌	nhuy
緍	mân
緎	vực
総	tổng
緐	phồn
緑	lục
緒	tự
緖	tự
緗	tương
緘	giam
緙	khách
線	tuyến
緜	miên
緝	tập
緞	đoạn
締	đế
緡	mân
緣	duyên
緤	tiết
緥	bảo
緦	ty
編	biên
緩	hoãn
緪	căng
緫	tổng
緬	miến
緯	vĩ
緰	đầu
緱	câu
緲	miểu
練	luyện
緶	biền
緹	đề
緻	trí
縈	oanh
縉	tấn
縊	ải
縋	truý
縏	bàn
縐	trứu
縑	kiêm
縕	uân|uẩn
縗	thôi
縚	thao
縛	buộc|phược
縝	chẩn
縞	cảo
縟	nhục
縠	hộc
縡	tể
縢	đằng
縣	huyện
縦	túng
縧	thao
縩	sái
縫	phùng|phúng
縭	ly
縮	súc
縯	diễn
縰	sỉ
縱	tung|túng
縲	luy
縳	truyện
縴	khiên
縵	mạn
縶	trập
縷	lũ
縹	phiêu
縻	my
總	tổng
績	tích
縿	sam
繁	phồn
繃	băng
繄	ê
繅	sào
繆	mậu|liễu|mâu|mục
繇	dao|diêu|do|chựu|lựu
繈	cưỡng
繊	tiêm
繐	tuệ
繒	tăng
織	chức
繕	thiện
繖	tản
繘	quất
繙	phiên
繚	liễu
繞	nhiễu
繠	nhuỵ
繡	tú
繢	hội
繣	hoạch
繨	đáp
繩	thừng|thằng
繪	hội
繫	hệ
繭	kiển
繮	cương
繯	hoán
繰	sào|tao
繳	kiểu
繸	toại
繹	dịch
繻	nhu
繼	kế
繽	tân
繾	khiển
纁	huân
纂	toản
纆	mặc
纇	lỗi
纈	hiệt
纊	khoáng
續	tục
纍	luy
纎	tiêm
纏	triền
纑	lô
纒	triền
纓	anh
纔	tài
纕	tương
纖	tiêm
纘	toản
纙	la
纚	ly|sỉ
纛	đạo
纜	lãm
纟	mịch
纠	củ
纡	hu
红	hồng|công
纣	trụ
纤	khiên|tiêm
纥	hột
约	yêu|ước
级	cấp
纨	hoàn
纩	khoáng
纪	kỷ
纫	nhận
纬	vĩ
纭	vân
纮	hoành
纯	thuần
纰	phi
纱	sa
纲	cương
纳	nạp
纴	nhâm
纵	tung|túng
纶	luân
纷	phân
纸	chỉ
纹	văn
纺	phưởng
纻	trữ
纽	nữu
纾	thư
线	tuyến
绀	cám
绁	tiết
绂	phất
练	luyện
组	tổ
绅	thân
细	tế
织	chức
终	chung
绉	trứu
绊	bán
绋	phất
绌	truất
绍	thiệu
绎	dịch
经	kinh
绐	đãi
绑	bảng
绒	nhung
结	kết
绔	khố
绕	nhiễu
绖	điệt
绗	hàng
绘	hội
给	cấp
绚	huyến
绛	giáng
络	lạc
绝	tuyệt
绞	giảo
统	thống
绠	cảnh
绡	tiêu
绢	quyên
绣	tú
绤	khích
绥	tuy
绦	thao
继	kế
绨	đề
绩	tích
绪	tự
绫	lăng
续	tục
绮	ỷ|khỉ
绯	phi
绰	xước
绱	thượng|chưởng
绲	cổn
绳	thừng|thằng
维	duy
绵	miên
绶	thụ
绷	băng
绸	trù
绹	đào
绺	lữu
绻	quyển
综	tống|tổng|tông
绽	trán
绾	oản
绿	lục
缀	chuyết|xuyết|chuế
缁	tri
缂	khách
缃	tương
缄	giam
缅	miến
缆	lãm
缇	đề
缈	miểu
缉	tập
缊	uân|uẩn
缋	hội
缌	ty
缎	đoạn
缏	biền
缐	tuyến
缑	câu
缒	truý
缓	hoãn
缔	đế
缕	lũ
编	biên
缗	mân
缘	duyên
缙	tấn
缚	buộc|phược
缛	nhục
缜	chẩn
缝	phùng|phúng
缞	thôi
缟	cảo
缠	triền
缡	ly
缢	ải
缣	kiêm
缤	tân
缥	phiêu
缦	mạn
缧	luy
缨	anh
缩	súc
缪	mậu|liễu|mâu|mục
缫	sào
缬	hiệt
缭	liễu
缮	thiện
缯	tăng
缰	cương
缱	khiển
缲	sào|tao
缳	hoán
缴	kiểu
缵	toản
缶	phữu|phẫu|phũ
缸	cang
缺	khuyết
缽	bát
缾	bình
罂	anh
罃	oanh
罄	khánh
罅	há
罇	tôn
罈	đàm
罋	úng
罌	anh
罍	lôi
罎	đàm
罏	lư
罐	quán
网	võng
罒	võng
罔	võng
罕	hãn
罗	la
罘	phù
罚	phạt
罛	cô
罝	ta
罟	cổ
罠	mân
罡	cương
罢	bãi|ba
罣	quái
罥	quyến
罦	phù
罨	yểm
罩	tráo
罪	tội
罫	quải
罭	vực
置	trí
罰	phạt
罱	lãm
署	thự
罳	ty
罴	bi
罵	mạ
罶	lữu
罷	bãi|ba
罸	phạt
罹	lo
罻	uý
罽	kế
罾	tăng
罿	đồng
羀	lữu
羁	ky
羂	quyến
羃	mạc
羅	la
羆	bi
羇	ky
羈	ky
羊	dương
羋	mị
羌	khương
羍	thát
美	mỹ
羑	dữu
羔	cao
羖	cổ
羗	khương
羚	linh
羜	trữ
羝	đê
羞	tu
羟	khan
羢	nhung
羣	quần
群	quần
羥	khan
羨	tiện
義	nghĩa
羭	du
羮	canh
羯	yết
羰	thang
羱	nguyên
羲	hy
羴	thiên
羵	phần
羶	thiên
羸	luy
羹	canh
羼	sạn
羽	vũ
羿	nghệ
翀	xung
翁	ông
翃	hồng
翄	sí
翅	sí
翊	dực
翌	dực
翎	linh
翏	liệu
習	tập
翔	tường
翕	hấp
翘	kiều
翙	hối
翚	huy
翛	dựu
翟	địch|trạch
翠	thuý
翡	phỉ
翣	sáp
翥	trứ
翦	tiễn
翩	phiên
翫	ngoạn
翬	huy
翮	cách
翯	hạc
翰	hàn
翱	ngao
翳	ế
翹	kiều
翺	ngao
翻	phiên
翼	dực
翽	hối
翾	huyên
翿	đạo
耀	diệu
